aa_int1,aa_int2,aa_quiz1,aa_quiz2,aa_quiz3,aa_quiz4,aa_regret,aa_joy,ai_int1,ai_int2,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_regret,ai_joy,ia_int1,ia_int2,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_regret,ia_joy,ii_int1,ii_int2,ii_quiz1,ii_quiz2,ii_quiz3,ii_quiz4,ii_regret,ii_joy,age,gender
 , , , , , , , ,1,1,1,2,1,2,5,1, , , , , , , , , , , , , , , , ,33,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,43,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,4, , , , , , , , ,47,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,5, , , , , , , , ,42,1
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,3,6, , , , , , , , ,65,2
1,1,1,1,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,6,5,22,2
 , , , , , , , ,1,1,1,2,1,2,5,4, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,4, , , , , , , , ,47,2
1,1,1,1,1,2,1,5, , , , , , , , , , , , , , , , , , , , , , , , ,53,2
1,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , ,21,1
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,6, , , , , , , , ,27,1
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,6,35,2
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,47,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,5,5,41,1
 , , , , , , , ,1,1,1,2,1,2,2,4, , , , , , , , , , , , , , , , ,31,2
1,1,1,1,1,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,35,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,3,43,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,4,5, , , , , , , , ,44,2
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,40,1
 , , , , , , , ,1,1,1,2,1,2,3,4, , , , , , , , , , , , , , , , ,32,2
 , , , , , , , , , , , , , , , ,1,1,2,1,1,2,2,5, , , , , , , , ,39,1
 , , , , , , , ,1,1,1,2,1,2,4,4, , , , , , , , , , , , , , , , ,38,2
 , , , , , , , ,1,1,1,2,1,2,2,5, , , , , , , , , , , , , , , , ,48,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,5,35,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,34,2
1,1,1,1,1,2,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,27,1
1,1,1,1,1,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , ,26,2
1,1,1,1,1,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , ,45,1
 , , , , , , , ,1,1,1,2,1,2,5,2, , , , , , , , , , , , , , , , ,55,2
 , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,4,5,26,2
